location,rep,k_rate_kgha,k_pct
a1,1,0,2.63
o2,1,0,1.17
s1,1,0,3.21
w1,1,0,0.8140000000000001
a1,2,0,2.76
o2,2,0,1.22
s1,2,0,2.9
w1,2,0,0.902
a1,3,0,2.79
o2,3,0,1.32
s1,3,0,3.33
w1,3,0,1.1550000000000002
a1,4,0,2.67
o2,4,0,1.14
s1,4,0,3.13
w1,4,0,1.1550000000000002
a1,1,56,2.48
o2,1,56,1.6
s1,1,56,3.24
w1,1,56,0.6649999999999999
a1,2,56,2.87
o2,2,56,1.28
s1,2,56,3.28
w1,2,56,0.819
a1,3,56,3.04
o2,3,56,1.3
s1,3,56,3.11
w1,3,56,0.875
a1,4,56,2.67
o2,4,56,1.34
s1,4,56,3.35
w1,4,56,1.043
a1,1,112,2.83
o2,1,112,1.85
s1,1,112,3.13
w1,1,112,1.21
a1,2,112,3.17
o2,2,112,1.74
s1,2,112,3.1
w1,2,112,1.71
a1,3,112,2.95
o2,3,112,1.5
s1,3,112,3.16
w1,3,112,1.25
a1,4,112,2.79
o2,4,112,1.19
s1,4,112,2.95
w1,4,112,1.53
a1,1,168,2.94
o2,1,168,1.94
s1,1,168,3.05
w1,1,168,1.016
a1,2,168,2.84
o2,2,168,1.56
s1,2,168,3.2
w1,2,168,1.584
a1,3,168,2.76
o2,3,168,1.47
s1,3,168,3
w1,3,168,1.3920000000000001
a1,4,168,3.01
o2,4,168,1.51
s1,4,168,3.21
w1,4,168,1.4320000000000002
